name,parent,swap
Nose,,
MthTop,Nose,
MthLCorn,Nose,MthRCorn
MthBott,Nose,
MthRCorn,Nose,MthLCorn
EyeL,Nose,EyeR
EyeR,Nose,EyeL
EarLTip,Nose,EarRTip
EarRTip,Nose,EarLTip
EarLMidL,Nose,EarRMidR
EarLMidR,Nose,EarRMidL
EarRMidL,Nose,EarLMidR
EarRMidR,Nose,EarLMidL
ShoulderL,,ShoulderR
ElbowL,ShoulderL,ElbowR
CarpalsL,ElbowL,CarpalsR
Metacarp5L,CarpalsL,Metacarp5R
Metacarp4L,CarpalsL,Metacarp4R
Metacarp3L,CarpalsL,Metacarp3R
1stPhal3L,Metacarp3L,1stPhal3R
PhalEnd5L,Metacarp5L,PhalEnd5R
PhalEnd4L,Metacarp4L,PhalEnd4R
PhalEnd3L,1stPhal3L,PhalEnd3R
ShoulderR,,ShoulderL
ElbowR,ShoulderR,ElbowL
CarpalsR,ElbowR,CarpalsL
Metacarp5R,CarpalsR,Metacarp5L
Metacarp4R,CarpalsR,Metacarp4L
Metacarp3R,CarpalsR,Metacarp3L
1stPhal3R,Metacarp3R,1stPhal3L
PhalEnd5R,Metacarp5R,PhalEnd5L
PhalEnd4R,Metacarp4R,PhalEnd4L
PhalEnd3R,1stPhal3R,PhalEnd3L
Tail,,
CalcBotL,Tail,CalcBotR
CalcTopL,CalcBotL,CalcTopR
CalcBotR,Tail,CalcBotL
CalcTopR,CalcBotR,CalcTopL
Worm,,
